crop,Agriculture
feed,Agriculture
gather,Agriculture
grow,Agriculture
seed,Agriculture
wheat,Agriculture
broadcast,Agriculture
catch,Agriculture
connect,Agriculture
cut,Agriculture
dig,Agriculture
fertile,Agriculture
field,Agriculture
lay,Agriculture
settle,Agriculture
take,Agriculture
vegetable,Agriculture
want,Agriculture
bear,Animals
bird,Animals
cat,Animals
cow,Animals
dog,Animals
fly,Animals
horse,Animals
insect,Animals
snake,Animals
swallow,Animals
feather,Animals
fish,Animals
pig,Animals
wing,Animals
arm,Body Parts
blood,Body Parts
body,Body Parts
bone,Body Parts
breathe,Body Parts
chest,Body Parts
cure,Body Parts
ear,Body Parts
eye,Body Parts
face,Body Parts
finger,Body Parts
fist,Body Parts
fit,Body Parts
foot,Body Parts
hair,Body Parts
hurt,Body Parts
ill,Body Parts
injure,Body Parts
joint,Body Parts
jump,Body Parts
leg,Body Parts
lie,Body Parts
lip,Body Parts
mind,Body Parts
mouth,Body Parts
neck,Body Parts
nerve,Body Parts
nose,Body Parts
rub,Body Parts
sick,Body Parts
sleep,Body Parts
stomach,Body Parts
suffer,Body Parts
tail,Body Parts
taste,Body Parts
tear,Body Parts
tear,Body Parts
tongue,Body Parts
tooth,Body Parts
touch,Body Parts
awake,Body Parts
bleed,Body Parts
brain,Body Parts
disease,Body Parts
fat,Body Parts
feel,Body Parts
hand,Body Parts
head,Body Parts
hear,Body Parts
heart,Body Parts
muscle,Body Parts
pain,Body Parts
sit,Body Parts
skin,Body Parts
sneeze,Body Parts
voice,Body Parts
wound,Body Parts
church,Buildings
city,Buildings
home,Buildings
house,Buildings
jail,Buildings
roof,Buildings
room,Buildings
ruin,Buildings
stairs,Buildings
street,Buildings
town,Buildings
wall,Buildings
window,Buildings
apartment,Buildings
barrier,Buildings
build,Buildings
hospital,Buildings
shelter,Buildings
theater,Buildings
accept,Business
add,Business
advertisement,Business
advise,Business
affect,Business
allow,Business
announce,Business
appeal,Business
apply,Business
appoint,Business
approve,Business
assist,Business
attach,Business
attempt,Business
automatic,Business
avoid,Business
award,Business
balance,Business
bill,Business
board,Business
bonus,Business
borrow,Business
branch,Business
buy,Business
campaign,Business
cancel,Business
change,Business
charge,Business
cheap,Business
claim,Business
collect,Business
combine,Business
command,Business
company,Business
conference,Business
consumption,Business
cooperate,Business
cost,Business
create,Business
credit,Business
crisis,Business
custom,Business
damage,Business
deal,Business
debt,Business
decide,Business
demand,Business
depression,Business
dismiss,Business
dispute,Business
do,Business
earn,Business
establish,Business
gain,Business
game,Business
get,Business
give,Business
global,Business
goal,Business
guarantee,Business
import*,Business
inform,Business
insurance,Business
intelligence,Business
interest,Business
invent,Business
involve,Business
issue,Business
item,Business
job,Business
leave,Business
lend,Business
lose,Business
lot,Business
mail,Business
mark,Business
market,Business
news,Business
notice,Business
offer,Business
office,Business
operate,Business
opportunity,Business
order,Business
organize,Business
owe,Business
own,Business
pan,Business
parcel,Business
pay,Business
perform,Business
permit,Business
plan,Business
poor,Business
possess,Business
power,Business
private,Business
prize,Business
product,Business
profit,Business
progress*,Business
project*,Business
propose,Business
protect,Business
publish,Business
purchase,Business
raise,Business
receive,Business
record*,Business
reject,Business
release,Business
repair,Business
report,Business
request,Business
require,Business
resign,Business
responsible,Business
retire,Business
return,Business
reward,Business
save,Business
sell,Business
send,Business
serve,Business
share,Business
shop,Business
shrink,Business
spend,Business
spread,Business
store,Business
succeed,Business
supply,Business
support,Business
task,Business
tax,Business
trade,Business
treasure,Business
trust,Business
wage,Business
withdraw,Business
worth,Business
about,Business
account,Business
achieve,Business
agency,Business
agree,Business
aim,Business
available,Business
bank,Business
blame,Business
boss,Business
budget,Business
business,Business
busy,Business
call,Business
card,Business
case,Business
cash,Business
challenge,Business
check,Business
choose,Business
compete,Business
complete,Business
concern,Business
confirm,Business
contact,Business
control,Business
copy,Business
criteria,Business
deliver,Business
design,Business
develop,Business
document,Business
effort,Business
employ,Business
entertain,Business
exchange,Business
execute,Business
expect,Business
expense,Business
experience,Business
export*,Business
file,Business
finance,Business
firm,Business
free,Business
general,Business
gift,Business
have,Business
hire,Business
hold,Business
incident,Business
invest,Business
invite,Business
labor,Business
lack,Business
list,Business
loan,Business
media,Business
money,Business
necessary,Business
prevent,Business
price,Business
property,Business
